,#,Company,Symbol,Weight,Price,Chg,% Chg
32,33,Danaher Corporation,DHR,0.529515,259.86,0.0,(0.00%)
33,34,Accenture Plc Class A,ACN,0.520578,266.29,0.2,(0.08%)
34,35,NextEra Energy Inc.,NEE,0.517451,84.0,-0.17,(-0.20%)
35,36,Linde plc,LIN,0.506135,329.32,-0.01,(-0.00%)
36,37,Verizon Communications Inc.,VZ,0.502717,38.55,0.14,(0.36%)
37,38,Walt Disney Company,DIS,0.493685,88.01,0.0,(0.00%)
38,39,Adobe Incorporated,ADBE,0.490355,338.4,-0.05,(-0.01%)
39,40,Bristol-Myers Squibb Company,BMY,0.490247,72.89,0.0,(0.00%)
40,41,Philip Morris International Inc.,PM,0.488527,101.69,0.0,(0.00%)
41,42,Wells Fargo & Company,WFC,0.484332,40.99,0.01,(0.02%)
42,43,Comcast Corporation Class A,CMCSA,0.469339,35.17,0.03,(0.09%)
43,44,Texas Instruments Incorporated,TXN,0.468577,164.12,-0.26,(-0.16%)
44,45,NIKE Inc. Class B,NKE,0.459185,116.45,0.2,(0.17%)
45,46,Raytheon Technologies Corporation,RTX,0.452894,99.5,0.2,(0.20%)
46,47,Honeywell International Inc.,HON,0.445346,213.87,0.0,(0.00%)
47,48,Amgen Inc.,AMGN,0.441827,265.32,1.4,(0.53%)
48,49,ConocoPhillips,COP,0.439559,117.06,0.01,(0.01%)
49,50,Netflix Inc.,NFLX,0.414014,294.7,-0.27,(-0.09%)
50,51,AT&T Inc.,T,0.406843,18.3,-0.01,(-0.05%)
51,52,Salesforce Inc.,CRM,0.403655,129.31,-0.13,(-0.10%)
52,53,Union Pacific Corporation,UNP,0.400826,209.91,0.0,(0.00%)
53,54,United Parcel Service Inc. Class B,UPS,0.399668,177.01,0.0,(0.00%)
54,55,International Business Machines Corporation,IBM,0.39798,141.65,0.0,(0.00%)
55,56,QUALCOMM Incorporated,QCOM,0.387013,110.67,-0.17,(-0.15%)
56,57,Oracle Corporation,ORCL,0.386498,80.85,0.0,(0.00%)
57,58,Caterpillar Inc.,CAT,0.386245,239.15,-0.72,(-0.30%)
58,59,Lowe's Companies Inc.,LOW,0.38623,201.6,-0.28,(-0.14%)
59,60,Charles Schwab Corp,SCHW,0.384146,81.77,0.0,(0.00%)
60,61,CVS Health Corporation,CVS,0.383454,93.56,0.0,(0.00%)
61,62,Elevance Health Inc.,ELV,0.381228,514.29,0.0,(0.00%)
62,63,Deere & Company,DE,0.374045,436.61,-0.32,(-0.07%)
63,64,Goldman Sachs Group Inc.,GS,0.367132,345.51,0.0,(0.00%)
64,65,Morgan Stanley,MS,0.355758,86.11,0.0,(0.00%)
65,66,Starbucks Corporation,SBUX,0.350629,98.39,0.12,(0.12%)
66,67,Lockheed Martin Corporation,LMT,0.34931,483.69,0.4,(0.08%)
67,68,S&P Global Inc.,SPGI,0.345543,332.94,0.0,(0.00%)
68,69,Intuit Inc.,INTU,0.338151,384.4,-0.09,(-0.02%)
69,70,Intel Corporation,INTC,0.334879,26.09,0.0,(0.00%)
70,71,Gilead Sciences Inc.,GILD,0.334204,84.55,-0.2,(-0.24%)
71,72,BlackRock Inc.,BLK,0.330126,703.94,0.0,(0.00%)
72,73,Boeing Company,BA,0.329517,189.06,0.0,(0.00%)
73,74,Prologis Inc.,PLD,0.326687,113.62,0.0,(0.00%)
74,75,Advanced Micro Devices Inc.,AMD,0.321186,64.5,-0.02,(-0.03%)
75,76,Medtronic Plc,MDT,0.320358,77.77,0.27,(0.35%)
76,77,Cigna Corporation,CI,0.31838,337.68,3.37,(1.01%)
77,78,Automatic Data Processing Inc.,ADP,0.30935,240.2,-0.74,(-0.31%)
78,79,American Tower Corporation,AMT,0.306379,212.02,-0.43,(-0.20%)
79,80,Intuitive Surgical Inc.,ISRG,0.292798,262.9,0.24,(0.09%)
80,81,TJX Companies Inc,TJX,0.285876,79.5,0.0,(0.00%)
81,82,Mondelez International Inc. Class A,MDLZ,0.284779,67.11,0.01,(0.01%)
82,83,Chubb Limited,CB,0.282692,219.65,0.0,(0.00%)
83,84,General Electric Company,GE,0.278307,81.5,-0.29,(-0.35%)
84,85,American Express Company,AXP,0.271384,147.02,0.0,(0.00%)
85,86,Citigroup Inc.,C,0.266214,44.34,0.08,(0.18%)
86,87,Analog Devices Inc.,ADI,0.265085,163.84,0.0,(0.00%)
87,88,Applied Materials Inc.,AMAT,0.262354,97.22,0.0,(0.00%)
88,89,T-Mobile US Inc.,TMUS,0.261526,140.6,0.58,(0.41%)
89,90,Marsh & McLennan Companies Inc.,MMC,0.257422,165.59,0.0,(0.00%)
90,91,Altria Group Inc,MO,0.256704,46.23,-0.01,(-0.02%)
91,92,Stryker Corporation,SYK,0.253445,242.84,0.0,(0.00%)
92,93,Duke Energy Corporation,DUK,0.245299,102.99,0.0,(0.00%)
93,94,Regeneron Pharmaceuticals Inc.,REGN,0.244744,724.01,-2.73,(-0.38%)
94,95,PayPal Holdings Inc.,PYPL,0.244248,68.98,-0.05,(-0.07%)
95,96,Southern Company,SO,0.240695,71.6,-0.14,(-0.20%)
96,97,Northrop Grumman Corp.,NOC,0.240352,534.77,0.0,(0.00%)
